Nazwa_Obrazu,ID_Komorki,Pole_Powierzchni_px,Srodek_X,Srodek_Y,Kolowatosc_0_1,Srednica_Ekwiwalentna_px
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,1,1788,430.82,149.66,0.4184,47.71
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,2,862,136.83,154.37,0.758,33.13
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,3,656,654.28,322.97,0.7574,28.9
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,4,627,320.83,164.69,0.7759,28.25
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,5,1005,643.77,349.78,0.7447,35.77
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,6,2031,582.1,385.95,0.4909,50.85
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,7,753,457.22,483.48,0.6976,30.96
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,8,745,508.27,508.64,0.816,30.8
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,9,870,178.97,227.74,0.8259,33.28
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,10,874,194.5,90.82,0.8541,33.36
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,11,762,77.98,358.98,0.8509,31.15
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,12,688,89.09,88.34,0.757,29.6
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,13,1151,71.56,290.84,0.9148,38.28
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,14,1233,681.83,231.1,0.6552,39.62
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,15,882,216.31,475.59,0.6777,33.51
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,16,890,62.71,435.91,0.7632,33.66
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,17,400,217.92,107.96,0.9685,22.57
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,18,548,683.94,277.67,0.8835,26.41
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,19,696,617.35,228.36,0.849,29.77
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,20,870,591.71,43.4,0.8833,33.28
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,21,622,468.47,15.13,0.8288,28.14
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,22,862,516.13,75.68,0.9035,33.13
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,23,933,288.75,85.37,0.8649,34.47
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,24,1019,477.9,334.52,0.7271,36.02
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,25,1275,583.53,208.38,0.6211,40.29
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,26,368,167.76,511.11,0.8491,21.65
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,27,887,343.38,482.06,0.8321,33.61
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,28,1120,30.51,72.44,0.8451,37.76
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,29,701,222.43,185.61,0.7849,29.88
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,30,992,121.3,428.1,0.8378,35.54
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,31,1017,296.57,428.17,0.8412,35.98
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,32,1242,372.37,193.7,0.6541,39.77
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,33,1009,491.03,440.64,0.8032,35.84
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,34,271,549.89,6.1,0.7109,18.58
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,35,1040,134.85,377.98,0.9427,36.39
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,36,668,98.75,505.64,0.8875,29.16
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,37,646,588.86,477.46,0.8626,28.68
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,38,576,544.89,271.97,0.9136,27.08
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,39,845,243.59,148.06,0.929,32.8
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,40,926,625.78,496.12,0.8037,34.34
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,41,660,433.32,57.42,0.8813,28.99
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,42,701,400.94,69.33,0.8318,29.88
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,43,761,170.69,23.19,0.8655,31.13
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,44,995,469.56,378.61,0.7307,35.59
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,45,644,377.01,487.16,0.7164,28.64
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,46,1072,659.04,92.61,0.8764,36.94
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,47,318,36.98,7.85,0.8606,20.12
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,48,839,282.21,485.67,0.8662,32.68
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,49,382,83.3,6.68,0.7031,22.05
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,50,730,146.71,472.09,0.8786,30.49
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,51,837,539.6,415.24,0.8215,32.65
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,52,694,642.06,170.06,0.6661,29.73
IXMtest_N11_s4_w142A84EA3-47C3-4B49-B6CA-BBC6685BBE1E.tif,53,661,344.25,144.49,0.9249,29.01
